	TCGA-A2-A0YJ-01	TCGA-E2-A14Z-01	TCGA-AO-A0J7-01	TCGA-AO-A03M-01	TCGA-BH-A18M-01	TCGA-BH-A28Q-01	TCGA-A8-A08O-01	TCGA-C8-A130-01	TCGA-BH-A8FY-01	TCGA-AO-A125-01	TCGA-E2-A10B-01	TCGA-AN-A0XO-01	TCGA-AO-A1KT-01	TCGA-E2-A15H-01	TCGA-D8-A27W-01	TCGA-AO-A0JI-01	TCGA-BH-A0C3-01	TCGA-A8-A09Q-01	TCGA-AR-A250-01	TCGA-E9-A22G-01	TCGA-BH-A201-01	TCGA-E2-A1L6-01	TCGA-AN-A0FY-01
ARHGAP33	340	1096	1849	1923	501	632	816	1058	1591	2972	418	516	291	355	739	479	266	730	724	3263	424	599	2361
ARHGAP36	0	90	74	53	97	0	532	0	253	7277	0	0	0	10	6	0	0	0	0	7	0	21405	863
ARHGAP39	2131	1466	1660	3065	1376	1949	1291	666	856	1139	1130	1801	3603	1744	4397	1590	405	3064	807	1109	1198	477	2742
ARHGAP42	326	140	114	270	754	1257	192	187	48	147	403	356	339	145	441	461	467	217	642	108	607	280	212
ARHGAP4	261	3254	375	1297	547	884	345	1207	1119	507	896	364	1457	3700	2214	754	855	1460	749	416	561	877	3860
ARHGAP5	4236	2065	5411	5321	6292	10434	8457	2862	2158	2858	6409	7548	3143	4027	6536	6274	3882	6004	6381	2350	8077	7129	5849
ARHGAP6	23	80	59	92	179	261	153	243	71	66	142	138	126	73	178	112	358	167	284	35	219	221	118
ARHGAP8	913	1157	1174	2709	982	2759	1002	2066	1122	2568	613	1005	2431	1488	2998	2177	361	3558	3668	926	1515	1244	1241
ARHGAP9	55	839	68	829	239	352	112	328	276	67	396	63	379	139	348	154	360	665	431	147	185	421	288
ARHGDIA	11027	11334	23449	35392	12111	13995	11602	15774	11169	9737	10945	18779	21441	13877	25810	13504	9704	16083	35497	15825	14511	13879	27662
ARHGDIB	2070	16118	14496	23463	18376	19396	8552	9346	47528	39445	17008	25489	14051	12680	7203	7215	9056	12956	13284	7863	10439	22897	5546
ARHGDIG	6	3	89	154	4	6	0	194	0	9	58	159	14	1	501	412	6	78	34	10	3	1	22
ARHGEF10L	1523	1992	1834	3333	2579	2620	2140	2497	1704	3774	3172	3159	1294	1778	2775	861	1415	1994	2032	3811	2225	2828	4123
ARHGEF10	1487	401	730	2212	1965	4266	1441	1524	879	3349	1906	1548	1333	906	1416	922	1757	763	1634	1757	2252	1570	1599
ARHGEF11	3913	3249	4194	4209	3744	11078	3135	4316	3544	6877	9092	5867	4869	4919	5564	4249	5570	4115	5925	7498	5626	5777	3899
ARHGEF12	11204	7271	8157	18390	12191	21249	13178	10781	3257	12965	17213	20669	6577	7582	20263	27230	12458	17981	15518	5207	16400	18433	25794
ARHGEF15	74	713	308	604	1042	907	392	1209	626	371	786	537	951	405	807	440	1760	588	844	246	1203	853	574
ARHGEF16	456	1552	625	1632	1343	1788	876	1341	2220	1684	1212	1650	588	1213	2145	565	753	897	843	657	1747	1214	2557
ARHGEF17	1944	2832	1976	4785	6746	4160	5675	3815	2176	2580	4373	6728	3117	3210	3735	3266	3277	3382	5133	1543	7910	4588	8983
ARHGEF18	3157	2854	4731	2311	2545	4228	2469	3616	1306	1880	4801	3698	1437	2061	3081	2254	2649	3500	2426	2640	2483	2773	5280
ARHGEF19	511	1478	566	1118	1648	2972	987	2847	1498	2430	1786	2707	1278	1796	1464	783	503	1200	374	6913	1130	1228	1812
ARHGEF1	1845	4245	3927	3982	3123	5119	4011	3762	4017	4747	4252	3740	2553	3530	5937	2430	3556	3066	4059	2617	3302	3333	4778
ARHGEF2	9423	5531	6508	3131	5212	12436	3734	5323	3697	9386	10231	11548	5702	4532	4006	4255	4700	6644	4990	12850	6875	7771	7872
ARHGEF33	30	48	20	74	23	38	11	18	48	68	17	37	22	12	9	20	7	10	21	245	35	61	45
ARHGEF35	2112	806	1527	3091	1613	2112	2462	2211	634	1127	2021	1506	1275	2222	1637	1407	747	496	1634	1274	4221	1128	1420
ARHGEF37	2148	1099	1551	2914	1841	4924	2245	756	2685	2015	2178	2775	3761	3310	1634	7431	1357	5705	2307	940	1932	2422	2391
ARHGEF38	9	137	16	51	166	363	85	68	52	246	77	392	99	141	3	16	287	51	110	26	490	254	12
ARHGEF3	1438	2934	10272	3328	3328	4005	1794	1815	2164	1681	4833	4591	1278	1912	3347	8250	2407	8540	5472	1350	3532	5066	2351
ARHGEF4	11	80	87	85	241	125	84	612	19	25	260	325	135	120	647	15	276	38	214	306	328	263	146
ARHGEF5	1307	619	903	3021	1151	2144	1585	1633	643	1420	2483	2089	1459	1768	801	804	652	657	905	1749	2438	2598	1239
ARHGEF6	1006	2586	2930	2624	4926	3461	3949	1884	1904	2201	1762	1685	2168	949	3254	3905	3237	3208	2474	3539	3645	4179	9048
ARHGEF7	3245	2627	2778	4283	2828	3670	3403	3387	1266	4992	3411	4518	3182	4469	5178	2023	3368	2581	4359	8847	3960	4575	6524
ARHGEF9	2449	1216	1508	490	1372	1625	1515	850	892	1313	1763	1813	1635	1538	1258	1464	988	1438	1430	6136	1722	1829	1769
ARID1A	5510	5531	7963	22555	11575	17056	9705	8592	3523	6556	14169	18001	6044	8575	13576	10778	8538	10891	9088	12783	10733	11156	16030
ARID1B	4321	4098	2877	7254	6281	10144	3591	5695	1906	3235	6555	9097	2834	3790	4603	3709	3540	4532	6756	4252	6528	5789	10690
ARID2	2120	1319	4241	4475	3702	7005	4597	2683	1266	3070	10330	4733	2182	2706	6416	3263	2874	3583	5403	2404	4295	3983	5106
ARID3A	225	502	357	327	141	373	176	122	264	512	397	232	98	188	433	310	500	135	394	411	136	239	314
ARID3B	296	363	1175	403	351	513	322	607	309	286	236	335	196	466	598	203	351	264	401	335	296	419	381
ARID3C	3	0	1	3	1	2	0	2	1	0	0	1	0	0	1	3	0	2	0	6	2	0	11
ARID4A	746	728	1634	1861	1777	2869	1543	1110	836	1603	1995	1785	1333	1468	2559	1695	1524	1744	1788	664	1921	2154	2357
ARID4B	2352	2431	3418	3938	5973	12072	4687	2440	2399	5889	6803	9413	3632	5089	8677	3093	3607	4715	8437	8280	5647	5710	4903
ARID5A	2036	1467	1448	3454	1136	4816	863	1535	1501	2431	2282	1194	1042	1059	840	826	1045	674	2075	2102	2878	2180	1429
ARID5B	2205	3403	1546	5075	5103	11621	3810	4758	1356	2957	2487	6941	3075	2968	1842	3817	4254	6724	4790	3328	8594	6891	2375
ARIH1	3929	3913	3566	4932	3524	8620	4286	4446	1928	4028	5162	4091	5702	4004	7191	5356	4189	5310	6374	5292	5807	5820	3954
ARIH2	2906	3683	4501	3587	3230	5065	3902	3644	3249	3487	4456	4733	6861	3016	5226	3439	3784	6453	4793	3289	5373	4821	5930
ARL10	142	27	58	63	96	297	82	45	6	4	133	87	155	50	404	19	104	153	141	27	175	82	140
ARL11	309	436	44	182	51	139	44	96	77	29	125	55	489	691	141	43	75	312	178	65	76	135	225
ARL13A	8	1	0	1	0	1	3	3	0	7	0	2	2	2	1	1	0	1	0	97	2	0	2
ARL13B	300	460	640	537	698	1125	582	527	247	329	697	1032	547	472	861	442	709	561	817	950	1295	997	665
ARL14	1	0	1	0	0	0	0	0	2	5	4	0	1	0	0	0	3	0	0	2	1	1	0
ARL15	240	678	872	1073	1736	1004	1590	887	643	494	1890	1115	318	460	1370	609	1237	861	1633	399	1112	1775	487
ARL16	939	813	1603	944	983	997	1582	1645	787	1835	896	1405	1758	767	1774	792	1166	377	1673	1969	870	1400	3132
ARL17A	116	147	413	290	225	297	260	432	241	180	237	366	346	142	273	409	216	297	193	192	329	558	147
ARL17B	0	0	20	2	6	9	25	5	0	13	2	18	13	8	5	10	12	13	4	14	7	13	1
ARL1	5149	5264	9043	9658	6223	10708	7202	3883	6118	10369	12470	6317	10316	4096	16408	12243	5958	6812	12813	7059	10362	12484	5808
ARL2BP	3127	3015	4326	7343	5294	4934	2399	3114	1659	2906	6300	4357	4167	3505	6296	2557	2904	2881	5908	2708	5272	3611	5354
ARL2	1750	1814	1353	2673	2492	1584	1764	4535	833	911	1371	2693	2864	2295	4327	2419	1461	2273	2844	2540	1300	1830	4543
ARL3	464	2609	5172	4263	3518	3200	3553	1546	1906	2530	3789	4663	3100	3017	2626	5258	1747	2406	2332	4825	3416	3486	4403
ARL4A	447	921	274	1180	1336	786	773	561	544	358	620	638	2852	779	673	358	1028	490	520	859	3422	1266	387
ARL4C	11419	2859	1375	4118	2744	2563	2236	2461	190	144	2314	2832	6909	1503	1950	439	1959	2473	5434	1368	4639	2080	2572
ARL4D	145	802	364	318	330	367	258	353	196	330	342	678	350	130	240	243	301	183	515	99	872	271	397
ARL5A	2540	1446	1340	2645	2287	3769	1688	1767	1035	1180	2591	2043	2141	1397	3828	1652	2499	4096	4313	1303	2885	3840	3332
ARL5B	2281	418	536	690	869	1453	1088	406	168	414	654	543	435	805	1082	734	901	1228	1271	870	919	942	1186
ARL5C	0	1	0	0	0	0	0	0	1	0	2	5	6	50	0	3	1	1	0	1	0	0	0
ARL6IP1	23412	21166	37507	37717	17693	29067	19633	38980	7633	19209	48849	24410	47586	21102	60192	27504	31150	39257	39808	27212	21258	18848	32522
ARL6IP4	2544	4472	6049	4159	2925	4086	3923	4621	7413	3233	7669	4288	3750	5103	4961	4081	3974	3863	3839	6115	4439	3224	7248
ARL6IP5	8964	8434	13850	9270	9643	13494	6593	5859	7014	9645	11715	19473	13491	13025	10769	12051	9407	17339	14903	5157	10075	13057	9588
ARL6IP6	1009	445	643	658	835	1134	642	443	448	490	616	1096	1028	661	1081	503	629	872	1144	841	712	957	2290
ARL6	174	169	186	150	242	437	191	137	103	163	275	322	221	156	287	230	162	323	189	299	234	260	253
ARL8A	3620	4203	3833	4107	4204	5738	2615	4439	3163	6290	5370	8127	6496	3444	5266	3747	2567	3206	5351	6046	4121	3975	4433
ARL8B	6171	7427	7577	7355	5932	9845	8620	6143	3280	7424	8535	14603	12526	7006	11535	10482	5482	10306	12654	23947	9032	9043	9030
ARL9	140	6	6	19	4	0	6	35	6	0	5	5	63	30	24	84	6	6	19	922	40	6	10
ARMC10	2464	1513	1396	1852	2273	4088	2044	2174	1448	5936	2640	3559	2775	1910	2455	2087	1662	3191	2464	5829	3092	2921	2013
ARMC1	4695	2614	2243	2817	1897	3068	2653	6174	704	821	2069	3125	4367	1017	10188	2920	1949	5380	4376	996	2237	2576	4704
ARMC2	69	219	104	187	141	184	68	130	109	216	251	181	102	74	138	122	75	112	115	82	100	242	209
ARMC3	1	63	24	161	129	590	42	31	64	3	201	77	294	121	30	37	32	34	10	14	21	113	15
ARMC4	0	8	52	7	14	411	8	2	2	1	113	8	4	8	40	57	7	56	1	28	6	15	0
ARMC5	319	720	894	1469	816	1360	678	679	630	984	2147	953	791	733	1391	792	649	350	855	389	661	605	1748
ARMC6	1723	1878	2646	1687	1527	2176	849	4046	952	825	2027	1922	1157	1265	5053	1572	1150	1655	1751	4198	1523	1491	2212
ARMC7	618	648	1020	2048	950	1141	1418	854	610	1346	1058	1543	1012	2748	2803	630	1210	754	1327	1463	985	1377	1719
ARMC8	1563	1752	2536	2772	2031	2504	1859	1761	664	1259	1980	2744	2822	1561	2465	1913	1696	3002	2511	1467	2576	2010	2212
ARMC9	247	823	846	1960	1572	3107	1075	685	476	1602	1617	1143	2055	754	1140	462	1058	732	1312	378	1972	1439	1439
ARMCX1	695	1232	636	454	1589	2787	3151	747	1932	86	920	1037	2311	1244	1182	2113	980	4818	898	466	2756	3060	1322
ARMCX2	206	3236	381	2058	4148	6687	4108	2183	5191	3600	1852	5170	1000	4180	801	197	1488	3826	1652	1153	5197	4248	1265
ARMCX3	1969	2723	9519	1472	5270	8946	5982	2950	3470	5518	4764	7838	6166	3701	4362	4130	3559	4993	8865	3283	8843	8099	2461
ARMCX5	460	452	1172	749	995	1148	1160	693	500	774	807	1407	516	685	1090	863	829	820	1141	1029	1533	1479	665
ARMCX6	357	690	1269	166	576	1177	632	524	602	508	598	828	889	660	553	515	334	625	1116	502	933	762	437
ARMS2	0	3	0	1	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	0
ARNT2	119	280	10895	724	2319	3940	2328	1088	514	2159	38292	3337	3957	966	5410	3052	1731	954	1267	2941	2090	16185	5125
ARNTL2	638	79	168	431	224	280	135	55	4	10	396	46	318	64	298	102	178	171	298	928	222	253	98
ARNTL	452	553	252	580	729	691	944	315	234	254	1903	909	879	447	599	329	621	483	1330	516	1092	681	894
ARNT	3898	3150	4318	3346	3855	9594	4048	3270	2055	5528	8651	4916	5222	4062	4838	4426	7254	4152	4272	4692	5401	6046	4162
ARPC1A	9065	4345	4846	5775	5420	7317	5382	8363	4773	6330	7638	8423	14517	5533	7391	5681	5261	10529	6044	11295	6182	8704	7316
ARPC1B	14192	5347	3324	8097	5347	6496	3844	5093	3417	4406	8243	7751	12273	8146	7990	1759	5225	7598	7692	2347	8753	6061	6365
ARPC2	10809	11455	9811	19126	14492	12324	7484	9053	3536	5370	13994	15474	18736	10266	9476	4096	9210	13540	17581	10738	17690	13593	16774
ARPC3	6512	12637	13530	19851	8876	10631	8848	14546	9974	16691	15422	8987	16141	11226	19407	8213	7142	8194	17978	17955	11996	13079	10947
ARPC4	8006	8208	13098	8884	8362	9759	5856	9716	5308	6990	9517	14075	20571	12117	10637	6052	6993	11481	11622	34335	10775	8811	11408
ARPC5L	2720	1794	3256	3786	1758	2300	1573	14006	1552	2262	3582	2948	4408	3248	2247	2118	1199	1852	3164	6312	3219	2292	3076
ARPC5	12369	7825	7145	12147	6767	12672	7429	8749	3031	9989	13708	11660	12386	14655	13317	5314	8909	9583	15670	26034	13757	10821	15757
ARPM1	96	151	70	122	105	135	56	121	71	62	103	98	167	94	46	95	66	200	116	311	161	93	45
ARPP19	9548	5597	10019	11035	10879	22892	9142	13688	5038	9601	11371	13025	15402	6300	17826	15148	10487	13993	14310	8233	13934	14606	6960
ARPP21	0	0	0	3	2	2	0	3	0	0	10	906	0	0	24	2	0	0	3	3	1	0	3
ARR3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	4	3
ARRB1	667	1017	865	1564	2601	2569	2540	1898	1004	629	1631	1568	1770	2671	4319	4656	1713	2437	2887	1028	2512	1656	4879
ARRB2	1831	2480	1773	2860	1585	2115	763	2417	2028	1529	2175	982	3263	1217	3102	1474	1718	3464	1853	2291	1297	1714	3543
ARRDC1	2518	1771	3335	6037	2207	4229	1870	3746	3201	5735	2860	3557	5496	3656	3083	2361	1572	3285	5907	3700	3325	2191	3536
ARRDC2	1594	954	1692	1386	1053	1999	903	1643	1404	2059	1831	1364	929	957	2766	891	1914	1307	1167	1459	1276	1691	1340
ARRDC3	6965	2635	2524	13506	7550	11363	4611	2064	888	5183	3366	7750	3878	4190	8514	3362	4354	6033	9850	6448	12968	5434	5604
ARRDC4	344	1787	709	1321	1237	1039	787	1293	1378	1297	1535	897	707	457	1308	848	1821	1252	2401	301	1063	3340	652
ARRDC5	0	11	1	9	6	4	1	5	4	3	8	1	11	1	5	4	6	7	5	2	1	7	1
ARSA	2821	2065	1755	2499	2206	2484	1036	2027	2907	4761	3179	2255	2580	640	3275	2670	2105	1944	1739	1340	3205	4338	1150
ARSB	641	960	384	1185	1356	1425	947	719	289	122	1229	1122	1477	752	1970	892	1166	1373	2687	1357	2069	1077	1491
ARSD	4294	6146	6901	10229	7045	15674	11643	6858	5557	10328	9091	12537	6913	10198	4730	10742	3307	5197	3827	4156	9839	13091	3919
ARSE	133	45	78	85	138	51	98	59	6	3	119	219	305	168	72	6	32	14	443	646	183	61	123
ARSF	13	0	1	1	0	0	0	1	1	1	0	1	2	0	2	0	0	0	0	21	1	4	1
ARSG	128	291	1403	1291	932	2516	997	721	1113	1848	2149	1338	1531	2196	1841	3197	268	743	1288	380	1435	2427	1737
ARSH	10	4	6	17	15	40	5	1	4	26	3	30	2	8	0	22	15	8	8	108	22	23	2
ARSI	112	145	201	101	427	410	432	176	13	1	189	599	421	408	91	19	131	82	477	140	1104	266	408
ARSJ	923	152	102	206	298	1695	201	111	376	369	128	507	192	143	252	34	149	105	555	446	823	348	306
ARSK	242	240	182	333	569	919	407	281	339	186	215	1277	271	425	260	837	471	488	365	300	713	509	377
ART1	1	0	0	0	0	4	2	1	0	0	5	0	0	1	1	1	1	1	2	0	1	1	0
ART3	1807	1	0	5	3	3	2	1	0	5	0	166	2	0	2	0	1	0	11	15503	3	7	0
ART4	2	15	3	21	5	14	0	5	10	2	11	1	2	6	7	50	19	2	2	2	4	10	2
ART5	6	7	25	20	26	15	17	13	6	0	9	27	24	18	33	6	25	3	14	19	43	26	28
ARTN	465	246	96	15	244	329	378	451	288	704	39	661	1687	205	259	68	135	87	99	85	233	221	503
ARV1	807	1190	2068	1104	1973	2935	1111	745	2709	5736	2421	2813	1842	1364	1498	1604	793	958	1007	3257	1620	2386	1391
ARVCF	907	756	600	1950	649	1869	619	1069	1349	1248	724	933	910	594	636	1090	363	1257	792	808	1354	853	1305
ARX	1	3	10	193	33	1	3	5	0	156	16	11	196	1	252	544	1	3019	219	5	2	5	0
AR	10	436	3978	1524	3011	7836	1562	1070	246	403	5309	4042	210	2865	4175	2726	3563	11888	5137	1	3181	1595	1672
AS3MT	78	1865	779	212	683	1156	125	2359	1357	1447	893	1136	915	223	681	3647	255	72	531	1686	1354	563	1515
ASAH1	5350	9708	42593	49123	14671	32336	11030	5460	7609	12523	95413	25331	9907	7811	12428	70665	12270	13077	16297	9205	9454	21971	6549
ASAH2B	6	5	25	56	10	54	65	12	2	25	30	10	44	92	64	144	121	127	115	2	103	47	43
ASAH2	19	12	8	26	27	79	21	8	18	13	9	64	11	18	9	57	12	27	19	2	14	18	5
ASAM	341	312	196	838	1186	1090	782	247	30	88	606	497	427	489	609	185	1385	582	1433	630	1596	1063	646
ASAP1IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0
ASAP1	4196	3068	3594	5146	5118	4261	2865	3729	1124	1592	3812	3160	3961	1380	6252	2936	4211	3594	4953	4119	4143	3983	4674
ASAP2	3955	679	6179	3400	1785	2804	2606	3239	850	2106	5326	1631	2975	1871	4871	3295	2883	1650	3909	6224	2581	2825	2924
ASAP3	2128	1486	527	4724	3568	2605	1572	2237	3250	3622	5360	3426	3454	1585	1464	2913	1482	1436	1920	2104	3127	3387	3402
ASB10	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1
ASB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB12	3	9	5	0	7	3	0	1	0	0	5	9	0	1	5	0	6	5	0	66	8	1	0
ASB13	3570	2200	5361	3336	3303	8477	6353	5413	2363	8296	2860	5088	3444	4364	4301	10072	937	11604	1603	2533	3199	6718	6378
ASB14	28	25	54	26	47	64	41	23	35	87	31	57	47	29	23	35	28	41	39	17	35	64	43
ASB15	0	0	0	0	0	0	1	0	3	0	0	0	2	0	3	0	0	3	0	1	1	8	0
ASB16	12	27	119	18	76	248	88	109	137	113	188	143	275	175	376	495	79	41	42	39	106	42	43
ASB17	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASB18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB1	1487	580	530	789	927	1316	1775	559	513	670	1085	1076	1574	867	772	646	1209	878	1505	398	1383	1460	2003
ASB2	6	186	10	171	61	124	23	93	24	28	70	42	39	26	65	22	90	91	57	32	42	63	37
ASB3	614	659	691	902	831	1200	814	1100	572	626	1185	1144	678	410	1441	636	662	586	867	1334	839	1122	1020
ASB4	0	0	0	1	6	2	1	0	0	0	0	0	0	0	1	0	2	0	1	11	1	4	1
ASB5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	2	0	1
ASB6	2499	1317	2569	4964	1595	2732	1579	1115	1372	1820	2751	2711	2839	2340	2640	1274	1007	1349	2875	3685	2067	1818	3490
ASB7	981	1011	828	1194	1141	2353	1302	1358	515	907	1827	1657	1373	1018	2403	1347	1142	1202	1559	1025	1706	1630	1225
ASB8	1292	1506	2643	3810	2027	3049	2067	2157	947	1715	4519	2959	3024	2443	4919	3013	2064	1826	3806	1673	2517	2541	3122
ASB9	211	53	229	64	52	294	23	52	29	57	84	56	75	13	28	18	113	38	35	87	35	53	38
ASCC1	985	1950	1103	2319	1780	4514	1647	2343	542	1078	1457	1727	2600	1595	3031	1509	1174	1339	1419	2295	1970	1848	2052
ASCC2	2486	2675	4030	5375	2398	4125	1786	4407	3165	4321	4117	2652	4247	2813	6074	2667	2427	2828	4142	5682	3313	3539	3839
ASCC3	4091	3338	1610	6908	4079	6263	2727	1480	867	2288	3939	6320	2117	2303	3920	1868	2364	4808	4898	3866	4264	4062	5689
ASCL1	0	0	0	57	1581	61	409	0	1088	0	209	180	44	200	7000	1027	5	19	0	1	0	0	10719
ASCL2	23	328	33	1703	34	70	448	55	46	252	30	50	482	503	134	9	13	60	39	180	62	41	1183
ASCL3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	2	1	0	2	1	0
ASCL4	0	0	0	5	8	3	2	39	2	0	5	2	101	4	112	1	11	0	34	2	1	4	62
ASF1A	1845	1360	921	1853	1121	1082	811	883	936	1228	1897	1489	903	710	1040	1078	765	1094	1087	3654	1208	1633	2340
ASF1B	1253	1111	4043	2146	1258	631	1276	3822	1475	966	1712	1384	1359	930	1858	697	947	915	1243	5756	1258	1238	3871
ASFMR1	0	1	0	0	2	4	3	2	1	2	1	5	1	4	2	3	2	3	2	5	5	0	4
ASGR1	11	48	12	26	10	21	5	26	18	21	10	4	25	6	18	7	29	27	29	12	16	13	22
ASGR2	3	26	6	35	9	22	8	17	25	2	29	7	35	11	6	2	21	7	14	16	18	11	10
ASH1L	8556	3804	6003	6901	8085	26279	8551	3485	3812	8723	16186	14495	4471	8360	11190	6635	9033	9275	10620	5873	13613	10617	8746
ASH2L	1366	1990	4480	5454	3322	4819	4468	1762	1449	2200	4771	9077	26275	1968	10909	28169	2400	3437	6656	6665	11411	4971	6203
ASIP	1	3	0	4	2	2	1	0	1	0	1	1	0	0	2	1	0	1	0	5	2	0	1
ASL	1773	1413	736	2068	1178	2216	1383	1861	1510	1204	2321	2013	1784	1175	1999	1582	908	1583	1471	479	1608	1700	1792
ASMTL	528	2532	3671	1258	1829	2237	1921	1891	2890	2208	1940	2561	1717	809	1295	1404	1127	1739	1062	814	3064	2216	1616
ASMT	0	2	5	2	0	4	1	0	5	3	0	0	0	2	4	0	2	0	6	3	3	6	7
ASNA1	3554	3295	5286	4372	4136	5579	3527	8117	3318	3051	6592	5545	3803	2541	5752	3270	3382	4585	3896	5345	3671	4308	5490
ASNSD1	1441	1727	2707	3264	2408	4182	1704	2390	1895	1276	3176	3350	3145	1863	2935	1818	2235	2543	2675	3179	4629	2643	3925
ASNS	4618	1571	648	2180	835	1828	1192	2479	1902	3354	1471	974	1767	743	4153	1328	872	2289	1059	8902	2076	1104	1790
ASPA	2	8	11	14	137	27	15	28	59	0	19	12	6	5	10	11	87	55	25	7	213	18	19
ASPDH	1	0	0	0	0	0	1	0	7	1	1	2	0	0	0	0	1	1	0	0	2	0	0
ASPG	3	1	0	4	1	8	0	2	1	6	3	4	1	1	0	11	6	1	2	0	4	2	2
ASPHD1	448	10	1819	4	22	247	93	28	2	65	617	53	17	37	321	0	12	201	137	29	266	17	344
ASPHD2	57	243	259	377	156	447	88	172	179	44	625	288	565	154	731	411	135	171	256	219	344	423	174
ASPH	21114	36075	10976	9896	11381	37641	27470	23484	6135	10970	6310	31059	11649	8215	35632	16151	10656	5618	25691	21356	12513	23743	23187
ASPM	2505	1238	1999	1784	714	880	1205	2023	563	1137	1712	1479	1663	1717	2937	1422	1484	2392	3993	5359	2240	1333	2952
ASPN	586	1836	2465	1199	13891	11252	6903	3114	276	320	11097	7333	5100	4046	4726	1210	7986	2783	20930	1108	16349	5951	8721
ASPRV1	79	76	46	83	126	193	73	166	83	63	122	87	106	46	62	135	135	52	63	402	133	169	198
ASPSCR1	629	898	1493	1884	1113	1424	754	2173	1557	1419	1181	1512	1103	643	1864	782	905	815	1133	982	936	952	1790
ASRGL1	271	1579	68	442	255	106	68	420	55	341	1378	488	368	18	477	61	152	280	246	1700	1291	1217	1259
ASS1	10739	3107	419	22373	7635	6620	871	1567	453	8468	2844	7710	441	500	1473	562	6156	433	431	5705	1840	3249	3964
ASTE1	326	531	749	807	637	787	448	796	424	663	883	865	565	493	574	378	423	774	548	432	858	660	702
ASTL	5	4	27	2	22	1	3	85	3	19	13	11	4	6	7	16	6	1	7	14	24	21	17
ASTN1	0	29	2	44	88	157	90	18	1	2	21	37	9	31	16	20	98	6	10	37	82	116	3
ASTN2	69	236	297	2413	919	1292	639	609	339	363	8092	939	2309	433	2307	4130	278	189	718	173	2391	1324	2934
ASXL1	5921	3093	4660	3952	4696	10070	5099	2353	2348	3753	7322	5528	7144	4864	7845	6327	4138	7415	5541	8070	5054	4512	6925
ASXL2	4502	805	1456	2059	2811	4995	2412	662	209	562	2863	2672	599	1245	4804	2328	2521	2291	3088	873	3389	2302	1957
ASXL3	2	13	1	29	75	75	16	8	3	0	12	24	3	9	143	5	23	12	6	37	36	12	22
ASZ1	0	0	0	32	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATAD1	1691	1399	3548	3465	2304	4903	3422	3115	1208	1797	4303	3006	5031	3134	5753	4476	3056	3343	4732	2357	3596	3899	3698
ATAD2B	2558	844	948	1581	1255	2214	1231	938	398	1223	1558	1348	839	810	1599	1006	1016	1150	2385	1967	1943	1478	1772
ATAD2	6621	4690	9868	8789	5968	6677	2888	8906	1429	2073	3963	4552	7487	4020	16657	12540	2230	25483	12482	6752	4084	4317	11523
ATAD3A	1680	1514	1283	3387	1028	1567	884	1137	1166	697	1271	1686	1160	1116	2859	552	1156	2005	1024	2061	1783	865	4268
ATAD3B	331	889	586	811	408	654	392	897	899	760	258	461	468	589	304	140	429	562	513	826	412	365	1996
ATAD3C	101	463	49	821	563	1240	193	73	82	1504	63	165	313	492	392	27	92	41	88	40	524	369	1941
ATAD5	272	459	484	492	287	410	376	596	191	269	352	241	456	179	883	250	310	360	789	736	464	325	540
ATCAY	3	0	0	1	0	1	0	1	0	0	1	0	7	0	0	0	0	0	0	1	1	0	3
ATE1	345	390	803	865	1020	1687	1332	347	127	243	995	1022	221	579	1641	913	743	1553	1296	339	1282	1072	845
ATF1	1420	672	891	1621	1154	2341	1191	589	585	732	2896	1897	1187	899	2111	869	1065	1797	2082	580	1511	1696	2464
ATF2	935	706	1151	1688	2091	3055	992	1588	252	505	1519	2409	962	1078	2896	787	1499	1868	2239	684	2561	1773	1588
ATF3	2679	3344	475	2314	11000	4624	422	1104	314	4409	454	2637	4758	1002	1162	369	567	1002	1416	4094	1591	2564	2432
ATF4	14029	12390	24288	23685	9127	14222	8966	19388	24633	12389	15907	13746	21693	11906	34835	8888	7238	11831	16557	47738	15511	13978	30698
ATF5	2217	1422	2937	4675	2539	2315	2411	3075	2651	1584	3071	3178	1383	1829	5376	2265	2207	2698	4688	2781	2912	1754	5045
ATF6B	6824	9349	5722	6312	5786	9691	6389	10921	5640	6047	6938	9047	10766	9133	5085	3587	5274	7164	6283	5675	5431	7691	10667
ATF6	6439	2646	4142	5607	5181	13905	5446	2352	1976	2792	8026	8517	6985	6896	10905	5897	5123	5844	7075	5168	8557	6694	5536
ATF7IP2	317	707	25	754	502	617	361	682	61	801	152	237	383	276	70	32	427	583	339	30	132	396	138
