	TCGA-BH-A18S-01	TCGA-E9-A22D-01	TCGA-D8-A27L-01	TCGA-S3-AA14-01	TCGA-E9-A1NI-01	TCGA-E2-A1IU-01	TCGA-E2-A1IF-01	TCGA-E2-A15K-01	TCGA-C8-A1HO-01	TCGA-D8-A1X9-01	TCGA-D8-A27M-01	TCGA-A2-A0CT-01	TCGA-E9-A227-01	TCGA-AR-A1AW-01	TCGA-A8-A08I-01	TCGA-AO-A0JJ-01	TCGA-BH-A0EB-01	TCGA-A8-A07O-01	TCGA-A2-A0CK-01	TCGA-E2-A15D-01	TCGA-E2-A1B5-01	TCGA-EW-A1P5-01	TCGA-A8-A06P-01	TCGA-BH-A0HQ-01	TCGA-A8-A079-01	TCGA-A2-A25E-01	TCGA-A7-A5ZX-01	TCGA-A2-A0ES-01	TCGA-C8-A1HM-01	TCGA-E2-A10C-01	TCGA-A8-A09N-01	TCGA-AN-A049-01	TCGA-AR-A2LN-01	TCGA-E2-A1B6-01	TCGA-C8-A134-01	TCGA-D8-A1XR-01	TCGA-A2-A25C-01	TCGA-BH-A18K-01	TCGA-D8-A1JL-01	TCGA-BH-A0DL-01	TCGA-E2-A155-01	TCGA-AO-A0JF-01	TCGA-A8-A07Z-01	TCGA-C8-A26V-01	TCGA-D8-A73U-01	TCGA-D8-A27F-01
CROT	2869	1485	5491	1338	1305	1463	1240	2372	705	4222	846	2067	1530	1034	5125	2620	880	247	1310	2734	715	2091	1970	983	1368	2727	3220	2059	423	3818	1184	562	791	895	1387	2056	2558	1723	847	2354	3063	2521	923	5064	2001	223
CRP	0	3	3	0	0	2	1	0	0	0	3	0	3	0	0	1	0	1	1	2	0	0	0	1	0	1	1	2	1	0	1	3	0	9	2	0	2	0	4	0	0	4	1	0	0	1
CRTAC1	46	3	164	40	7	357	216	6	6	2	125	134	58	2787	24	149	12	48	396	190	123	1	7	49	10	8	240	85	9	2	14	16	136	665	264	4	37	27	274	67	46	293	5	36	12	288
CRTAM	49	1008	120	18	27	35	20	97	43	111	180	15	176	592	783	172	87	28	55	43	297	25	46	19	23	26	26	70	231	56	41	39	38	465	151	13	105	19	166	93	18	53	14	47	371	22
CRTAP	10060	10189	13628	6201	6391	8851	13859	7774	6242	12805	8763	9311	12392	7302	10956	13010	17544	11335	9745	10438	9842	8942	14225	9617	9670	15438	9080	11191	4368	3980	7665	6464	8478	10240	14091	13585	18065	10804	12814	4315	11323	15186	6533	9502	9418	7190
CRTC1	598	611	1662	900	478	597	1094	1216	1304	953	570	478	1146	1219	1702	813	556	536	1703	1130	510	1213	1011	1113	1183	757	1706	955	545	773	453	805	1117	897	1167	1137	1264	738	824	432	1198	958	804	1915	1244	707
CRTC2	4922	4570	2426	1388	1611	2184	5138	3295	3685	3353	3115	1567	2968	3417	3385	2485	2762	10053	4252	4389	2894	2003	2666	3373	2328	3284	2879	2226	2801	2579	1604	2157	2038	6591	5077	4909	3348	3461	4695	3652	3070	1653	2738	3340	2907	4788
CRTC3	4534	3387	5543	2053	2018	3233	2090	2858	4779	3979	3270	1063	4555	3572	4459	4689	4108	3361	3070	4568	3193	5106	3958	2673	3595	2826	2503	3558	2716	2124	1792	3195	2633	5526	6794	5282	6713	2560	7881	4500	6533	3349	2353	5482	2071	5341
CRX	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
CRY1	1201	1691	2466	838	989	1172	793	1139	882	1864	1299	886	1346	832	1828	1179	1494	1734	1056	1645	733	1160	2550	890	1318	1920	1725	1644	953	427	838	960	767	758	2444	1960	2773	1048	2275	1018	1627	1546	725	3196	916	1644
CRY2	4669	2339	4657	2576	1612	4752	2415	2247	4531	2127	2398	3485	3630	1623	4459	3807	3504	1324	4977	3311	2130	3066	5253	2886	2577	1947	3291	3810	1593	1304	2084	1964	3739	2680	2966	4018	4516	2159	2101	1102	2627	2977	1672	3912	2692	1511
CRYAA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	25	1	0	0	0	2	4	0	2	0	0	0	13
CRYAB	885	210	1321	571	221	1132	3274	279	238	780	17730	280	787	218	66	2405	732	554	2892	1177	4367	269	1323	1145	195	436	3390	5589	87	283	391	977	2976	29823	25670	852	608	949	30094	1933	286	3423	237	791	209	63159
CRYBA1	0	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	3	0	1	0	0	0	1	0	2	0	0
CRYBA2	3	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	1	23	0	1	0	0	1	0	0	0	0	0	0	2
CRYBA4	3	1	5	1	6	1	0	2	1	0	4	0	0	0	0	1	0	0	5	2	3	1	1	1	2	5	0	1	1	0	0	0	1	3	2	1	2	0	1	0	0	5	0	5	3	1
CRYBB1	30	34	17	14	20	8	19	10	6	30	21	20	22	13	12	24	39	6	30	9	14	27	17	16	37	11	12	18	9	23	11	33	12	46	11	11	42	24	22	8	7	32	25	28	37	9
CRYBB2	7	5	8	2	6	1	0	0	2	1	6	2	1	0	3	1	0	0	3	3	11	2	0	2	25	6	1	3	4	18	2	11	9	137	7	3	1	2	9	11	4	1	4	16	5	8
CRYBB3	1	3	6	2	0	0	5	0	1	0	2	0	2	1	3	0	3	2	7	4	3	1	2	0	5	0	12	2	6	2	0	1	9	14	0	2	0	1	2	25	3	0	3	2	2	2
CRYBG3	367	324	1072	529	218	275	332	309	232	532	1526	160	858	1642	3448	1150	586	871	479	942	858	143	530	1261	8167	769	603	2018	116	129	354	356	1329	487	1112	712	1080	596	1066	3117	1415	1086	58	1035	460	696
CRYGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGN	3	4	15	14	2	3	18	6	1	4	44	3	5	1	0	4	15	1	14	1	11	4	14	12	3	5	23	4	2	1	1	12	8	14	2	3	10	13	9	6	0	4	6	3	10	3
CRYGS	16	70	52	46	10	15	58	45	33	27	35	11	56	47	72	27	20	25	78	69	32	11	32	14	45	34	56	36	22	43	9	39	27	214	59	52	32	47	17	53	24	18	13	20	60	22
CRYL1	3641	1224	1758	1047	1234	1899	1138	1028	610	1065	707	825	2347	1001	2388	1103	1793	297	1360	882	923	1180	1872	1154	927	1308	1132	646	551	822	758	1060	866	612	1095	2253	1518	1942	1618	800	889	1608	1278	1581	1213	1190
CRYM	1	4	21	4	146	12	2514	7	28	17	9	2	29	172	408	5	35	0	642	2	74	29	70	243	1	17	39	183	2	2172	98	17	103	75	17	1102	407	482	39	3	2	22	6	1	568	6
CRYZL1	1192	931	1085	490	716	882	617	715	888	850	564	988	1363	672	764	876	1367	715	841	801	911	1063	878	588	593	1184	1048	948	704	363	1052	825	448	1312	971	1344	1881	981	979	624	794	908	801	1560	679	1128
CRYZ	3113	2827	2807	847	2399	2121	1078	2329	5891	2964	1247	965	2665	1691	4354	2522	2620	1862	1240	1905	1617	1660	3378	1412	4728	3818	1792	2582	1246	1537	2890	978	1067	2648	1688	2226	1286	2423	2829	2057	4169	3299	1296	5659	1070	1106
CSAD	772	2238	1940	1288	951	962	2389	1492	575	773	413	346	933	1775	2134	761	1971	327	1742	1195	473	1316	899	1291	1734	1917	4211	1341	1383	5718	2878	1024	1571	1251	1056	1529	1277	2631	117	1096	3435	650	726	1492	1647	427
CSAG1	1	3	1	0	0	12	0	33	0	0	39	0	0	2	5	1	1	2	0	0	2	1	0	0	0	0	0	0	67	43	0	1	0	12	4	0	0	1	12	4	0	0	0	2	0	1
CSAG2	0	10	0	0	0	0	0	4	0	0	9	0	0	7	0	0	4	0	0	0	0	5	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	118	0	0	0	3	23	0
CSAG3	1	37	1	0	5	3	0	22	14	19	14	6	0	82	96	1	25	5	38	0	4	66	1	0	0	0	0	1	364	4	0	0	7	143	8	0	2	13	96	255	1	5	14	22	46	1
CSDAP1	34	66	140	44	67	18	43	8	28	55	174	69	95	35	133	111	70	234	79	46	47	83	130	34	94	65	76	105	15	16	29	56	69	107	138	22	57	56	189	224	11	58	62	142	34	163
CSDA	2283	3868	6468	3066	3096	1355	4359	1106	2201	3042	8092	3651	6512	1854	6573	5235	5560	13861	6206	4465	4218	5187	5341	2404	4330	3470	10361	10522	1277	954	2681	5254	3458	15474	7527	1476	3558	5979	12596	12629	514	4363	3694	7098	2448	7089
CSDC2	35	30	390	110	108	104	155	39	50	151	74	50	44	22	16	72	202	21	215	79	51	38	349	448	75	27	786	150	2	66	53	60	303	458	37	16	100	232	46	28	2	69	25	28	206	21
CSDE1	39788	37361	53909	22266	12729	29563	21332	28328	47015	56754	53450	37782	38536	31402	42148	37417	62170	89933	26584	40647	36290	28571	44955	25653	46034	26940	29354	45704	28733	16291	36295	35888	27192	36236	90211	44900	47499	26039	100677	89183	58726	43014	14649	72058	18741	33086
CSE1L	7911	17961	10143	4708	7938	5683	3875	7272	9666	10603	4139	11528	8906	7186	18815	7275	7818	16899	3969	5971	3961	7197	6425	5584	15997	23403	3932	4835	16507	4182	13991	6854	3149	12474	32509	16981	17842	13147	8087	9893	8869	7195	9148	15561	2028	16515
CSF1R	2727	6434	5748	1318	1392	1945	1494	2757	891	6015	7440	1138	4074	7812	9719	6915	8396	6085	2478	1834	2113	5726	5100	2115	3476	1954	1913	4130	2504	2079	936	3006	2592	5242	6409	3573	3083	1877	11002	8690	668	4938	2886	4257	6355	5118
CSF1	2222	2650	2346	718	1308	2127	933	1471	680	2707	2669	425	1764	2149	3374	3212	7661	2765	1281	1156	1372	10110	2316	1574	2011	801	1170	2791	1241	490	567	1377	1818	1246	2400	3693	1358	1198	5640	3249	322	2317	1659	4865	2088	1808
CSF2RA	278	1248	747	188	84	218	149	345	69	257	868	169	692	1291	2395	834	834	143	495	205	604	282	423	138	447	316	262	555	576	345	116	229	305	1345	1544	267	511	145	969	998	102	401	1148	277	988	238
CSF2RB	229	2066	2044	356	174	759	477	1137	248	754	2596	278	1374	5816	7133	1488	844	2025	499	701	3151	484	563	553	283	446	377	568	1170	349	405	513	1076	3253	1996	355	1216	368	1968	2469	330	1397	255	333	1955	1148
CSF2	0	7	2	0	1	1	3	2	0	1	5	0	7	0	49	0	1	3	0	0	5	0	0	1	0	1	0	0	3	3	0	0	0	8	0	1	2	0	8	10	0	0	0	0	7	3
CSF3R	496	1177	1648	325	567	632	858	1827	534	628	750	2081	578	1672	9439	1058	2529	955	2554	802	421	1258	822	411	549	319	1191	830	2650	1769	258	1067	1392	707	702	850	1488	983	6017	831	669	573	753	315	1716	440
CSF3	0	0	0	2	0	1	6	1	0	0	0	2	7	1	1	5	0	10	8	1	13	0	0	0	1	26	1	38	1	0	0	0	46	12	3	0	3	0	2	2	15	1	0	0	2	30
CSGALNACT1	271	779	1133	458	254	966	541	520	238	540	2068	485	914	1296	639	1082	756	729	453	890	883	340	677	480	154	455	1025	1914	273	358	258	392	1119	991	796	712	3795	653	1274	2157	169	1605	151	922	1274	1898
CSGALNACT2	1609	3507	3477	1192	1193	1470	1436	1581	1999	4536	4171	917	1945	2507	3798	2189	2066	2731	1270	1720	1576	1353	2391	1049	1177	2527	1761	1865	1452	730	1675	1666	1393	2059	3331	3971	3593	1833	3731	1770	3251	2402	1284	1956	1655	6163
CSH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSK	2813	6963	4656	2210	2225	2323	2570	4457	3894	5496	4770	1185	3831	6499	5822	3398	3578	4061	3992	4144	4712	3971	3723	2332	4120	3239	2923	2266	3395	2580	2775	2948	1699	14430	9024	3144	5529	2378	6919	8245	3424	2462	3027	5565	4707	5916
CSMD1	2	5	38	79	11	0	25	4	5	6	5	19	6	28	3	9	6	6	0	27	0	2	6	65	1	1	127	411	1	1	2	6	44	1946	20	1	48	38	60	1	5	4	1	444	7	2
CSMD2	95	53	272	82	133	4	121	94	58	248	366	23	50	70	59	19	141	58	7	48	20	92	149	82	39	45	47	28	12	21	50	84	64	38	29	61	116	108	288	63	15	96	28	147	67	1783
CSMD3	1	0	6	1	9	3	0	1	555	87	0	25993	0	0	0	3	1	0	0	2	0	1	0	0	0	1005	3	3	0	6	2	1	0	0	0	1	1	2	2	0	0	0	0	1	0	0
CSN1S1	0	0	0	0	0	2	13	0	0	0	1	0	0	0	0	3	0	0	4	17	1	0	0	0	0	0	0	1	0	0	0	0	0	284	0	0	1	0	0	0	1	5	0	0	0	0
CSN1S2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	36	0	0	1	0	0	0	0
CSN3	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	4	0	5	0	0	2	0	1	3	19	0	0	0	0	0	824	0	0	0	0	99	0	0	0	0	0	0	356
CSNK1A1L	9	9	12	9	0	10	3	3	10	22	10	4	13	9	21	5	5	14	7	7	5	9	11	8	5	11	6	3	3	1	7	6	1	14	6	13	28	4	11	5	7	6	5	19	11	9
CSNK1A1P	0	0	1	0	1	1	0	13	0	0	4	0	1	0	1	0	1	3	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	2	2	0	1	0	1	2	4
CSNK1A1	23561	32092	27789	9646	11228	24207	14136	18251	32449	54368	17155	22497	20996	12268	35307	19424	25771	23709	13316	17957	20148	33935	20928	12976	15477	34747	20280	23780	11278	12066	29784	22933	11317	16978	25095	31454	48992	25343	12067	33835	17035	22613	12896	32704	11829	17617
CSNK1D	10475	9886	13945	5960	7499	8250	8411	8712	9362	18039	10248	9122	8956	7344	13690	7452	10455	10491	11662	9370	6404	9871	10302	9501	19954	11198	9696	8353	6851	9008	5890	10197	5681	9775	12067	13451	12041	7847	18409	8548	12958	7558	8659	13183	6377	11139
CSNK1E	5323	10642	6034	4185	2225	5758	5257	5065	8471	4185	6353	3325	6418	3942	3995	4338	3705	8802	9757	5831	3015	2731	3818	3206	5627	5690	6923	6338	2647	3683	3426	2715	3777	9605	7566	8016	4835	3604	4905	4620	9977	3165	4694	7076	4485	7591
CSNK1G1	2620	2392	4299	1279	1154	2496	810	2235	5231	4678	2184	880	2473	2335	4025	2023	3006	2890	1498	3399	1952	5450	2796	1812	2623	4255	1423	2641	2597	907	1685	2137	1667	2105	3881	4668	10344	1622	4699	2947	4155	2928	1445	3895	1124	3031
CSNK1G2	1898	3165	3880	2529	1437	2136	2712	2495	2181	1876	2791	1857	2087	1855	3218	2322	1557	2548	3936	2716	1690	3274	2297	2151	2881	942	4368	2286	1135	2279	1442	2370	1626	3210	8443	3109	2309	1772	2351	3832	2779	2157	1978	4418	3335	8066
CSNK1G3	3096	2684	3563	1564	1405	2480	1281	1641	4664	4768	1816	2964	2421	1919	2994	2177	2455	1279	1766	2808	2862	4594	1621	1374	1775	3741	1902	2483	1179	608	1804	1810	1423	2424	1866	3861	4918	2297	1611	1539	3162	2388	1797	4286	1145	2052
CSNK2A1P	1395	1047	3204	863	997	1078	335	840	2048	2095	2350	2368	1111	3859	2843	1164	1385	2911	425	1133	581	1426	1698	1057	1488	1925	556	1255	1355	325	1484	1511	801	345	1329	1857	3183	1217	2502	2798	2668	1302	1421	3471	1438	1744
CSNK2A1	3928	3907	7170	2084	3430	2961	2349	2939	5908	4854	5042	6122	3582	10690	7156	3099	4469	7632	2091	3465	2708	3880	4362	3059	4061	5980	2364	3702	4011	2082	3624	4070	1968	3304	4435	5076	8135	4802	5959	7911	6373	3245	3871	7767	3527	3899
CSNK2A2	1347	1123	1136	981	585	560	948	565	1993	2640	1978	672	1087	1140	2968	908	1025	2290	864	777	1842	1300	1056	688	1359	1912	797	1262	770	690	676	800	688	2966	2240	943	2400	1098	2680	2008	939	823	621	3348	784	3428
CSNK2B	7625	10232	5629	3952	6767	5774	8580	7771	15574	11002	5811	8440	10076	4724	11168	4497	9376	8953	8225	5600	7764	6617	8436	5754	7159	7959	6034	5646	5661	11567	10605	8136	2960	23772	26449	7512	11433	11351	12827	6763	4195	4345	4828	12379	4200	14307
CSPG4PY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSPG4	738	773	2809	1164	1254	1739	2717	1132	791	2691	2925	924	1456	330	220	1250	1507	1552	887	1621	471	1324	2362	2939	748	767	1973	1274	262	730	476	1605	1099	10669	11306	2846	1732	1793	7026	2159	725	2401	1448	1329	714	4846
CSPG5	184	324	67	233	76	55	117	228	79	28	97	34	136	23	550	90	91	47	89	49	47	16	73	66	98	149	48	84	13	81	296	36	30	148	178	152	130	194	238	157	65	59	160	205	15	280
CSPP1	1148	929	3801	927	790	859	447	630	1922	1334	1458	3922	865	3459	2560	769	604	2039	771	1607	578	570	1702	985	1566	2412	1279	1440	1206	1246	1231	1588	730	1655	2649	1889	2852	860	2507	1203	1810	571	247	1127	342	1170
CSRNP1	2033	1952	2454	1939	1907	2489	2943	1531	2259	1908	1632	4332	1768	1385	1821	2988	2027	941	3291	2186	2448	2280	1985	1119	895	2632	1732	12659	686	1188	2351	1114	8159	2546	1359	1607	3786	2213	2465	720	1922	1652	1270	1285	1944	1567
CSRNP2	9161	3898	5847	1676	3418	2668	2734	3153	6242	4898	2297	2392	3219	2766	5168	2558	4440	7887	3006	3287	2844	4663	5435	1843	3030	3094	2255	2423	2944	4735	3338	2262	2071	2752	8241	4296	5339	3976	3176	2923	5253	3545	4283	5226	2216	3283
CSRNP3	33	0	33	22	16	15	1	4	10	12	10	18	23	11	4	32	13	8	3	25	2	18	17	40	3	9	5	93	5	0	7	3	55	41	9	8	82	12	75	20	14	49	3	100	10	5
CSRP1	25653	11296	20481	12482	8836	11126	20939	13976	8933	13130	10668	6280	22308	6472	20408	14264	16190	5784	13415	21675	9270	14784	24882	14804	12941	11284	28815	35619	4942	7762	9103	10821	10393	29358	148017	11484	15366	12709	13535	7811	14193	11122	13774	29525	10004	33456
CSRP2BP	2740	3000	3163	1261	1811	2074	1340	1633	3428	3127	1588	4260	2215	1893	4853	1855	2468	1961	2069	2050	1544	2186	2060	1754	1586	3873	1721	1435	1488	1211	2304	1733	1126	2928	2325	3641	2918	1847	2555	2610	3453	1782	2961	3074	1950	2061
CSRP2	91	383	457	546	299	238	547	196	170	603	1369	275	637	221	598	461	586	1540	581	231	978	350	584	238	1323	444	687	563	277	59	332	204	472	2375	5509	424	685	516	619	1028	155	466	135	4685	224	3443
CSRP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
CST11	0	0	1	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	9	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	1	2	0	0	0
CST1	4	4380	4693	1033	5	1642	1023	141	211	78	2889	499	8319	1095	896	892	8529	32	19	821	1754	22	1109	139	515	8	1111	146	462	1408	576	2229	445	384	3270	11479	339	4333	252	709	1	7052	112	310	4692	0
CST2	104	103	100	175	14	148	76	23	37	43	11	74	686	5	109	120	994	0	1017	60	384	89	32	71	65	47	481	19	0	24	65	116	29	37	2	126	192	67	35	0	33	25	1	24	190	3
CST3	14139	20125	14364	3971	10963	14443	20998	12542	18307	14927	8977	6462	34028	9463	27152	26608	30821	4276	18344	9205	16200	23288	14650	11122	13018	14856	10335	13461	5699	16099	5019	13867	7369	22586	7794	10790	16511	17286	7245	10115	45064	12139	70178	16163	42137	3647
CST4	0	105	934	2577	796	69	3237	99	18	30	40	21	107	60	9053	10	346	2	95	19	40	0	29	255	14	2	93	65	6	162	269	40	32	14	116	176	6	6345	0	26	23	124	68	16	22470	0
CST5	336	104	3	2	295	1479	343	139	1	43	0	1	2	0	487	1	652	1	765	40	216	480	1	5	0	0	8	11	1	15	289	3	2	4	0	0	2	169	0	0	98	10	2	22	488	0
CST6	37	21	687	103	270	24	142	288	76	26	413	6	31	46	85	8	429	19	82	696	23	101	336	170	20	303	78	27	21	21	1	96	23	87	390	21	60	196	620	1683	2	134	249	99	106	179
CST7	95	2917	358	68	107	146	169	471	121	233	484	35	700	1194	949	613	324	196	339	279	1079	109	191	85	93	114	87	252	933	247	131	130	163	3528	760	73	204	116	870	374	65	354	146	230	1908	146
CST8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
CST9L	17	1	3	0	8	2	0	0	11	7	0	0	0	0	48	207	0	0	2	0	0	3	7	0	36	5	3	6	2	0	0	5	0	0	0	0	0	0	0	1	372	2	426	3	1	0
CST9	586	221	148	25	56	524	1	2	633	167	0	10	4	0	646	2543	4	1	76	2	0	85	783	0	3807	166	128	207	61	0	2	733	5	0	0	0	1	9	0	6	14138	377	2135	30	3	0
CSTA	100	652	235	63	182	120	227	114	67	104	364	1213	320	388	271	345	301	199	190	184	548	66	130	57	510	69	267	372	195	16181	41	89	136	921	1371	88	1022	1529	220	14475	40	541	46	79	497	310
CSTB	6303	11934	6457	2550	6787	4466	9205	6840	4889	10028	8248	4482	10609	4193	17108	5697	6798	22500	7392	6724	6543	5485	6583	4748	6758	5151	4215	4744	5295	6412	2702	3853	2567	30905	23794	7198	5591	9847	15683	38574	6100	5422	9602	14440	6763	15184
CSTF1	2646	8841	2887	1252	1814	1583	1304	1901	2449	4574	1311	5170	2073	1732	5159	1842	2466	3106	1633	1831	1350	2130	1980	1621	3314	3826	1506	1603	2433	1537	1861	1342	984	3531	5256	3332	4090	2450	1921	2611	2012	1792	2164	3742	1234	3365
CSTF2T	4490	5072	3951	2005	1699	2791	1784	2863	4177	5348	2952	2761	3535	3607	3669	3321	2962	3113	2975	2855	2510	2173	3133	2215	3420	3301	2317	2875	1897	3278	3182	2373	1991	3580	3126	5140	6621	2618	4112	2679	5225	3171	2221	2500	2098	7296
CSTF2	1152	1634	1595	797	764	949	577	1536	826	2052	1112	1478	1533	947	3022	956	1403	1728	814	1035	690	1458	1044	1086	1639	870	501	646	3001	832	1595	1199	361	1362	2026	2325	2506	1221	1393	2247	2376	954	949	2830	603	1919
CSTF3	2733	4012	2313	1366	1313	1715	1602	1349	2587	2460	1900	2399	2328	1781	3015	1744	1580	3144	1590	1857	1575	1901	1964	1038	2326	3120	1784	1672	1387	1529	1638	1694	1148	6767	3391	2642	3915	2360	2639	1789	3895	1659	1315	2694	1060	4190
CSTL1	0	1	1	0	1	0	0	1	1	0	0	0	2	0	6	0	0	0	0	0	0	1	0	0	50	1	0	1	1	0	0	4	1	0	0	1	0	5	0	14	2	0	0	0	0	0
CSTT	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0
CS	9087	17898	12228	6700	9087	8399	6439	9940	15398	13591	9719	7800	11639	9428	20439	9214	11020	14656	7476	10773	8686	9000	10367	6929	18735	14660	5771	8150	14058	8021	18185	10571	4899	10102	15435	13869	16481	11502	9922	10635	17194	8994	15517	23200	5420	12875
CT45A1	0	0	0	0	0	0	1	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	45	1	0	0	0	0
CT45A2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0
CT45A4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CT45A5	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT47B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT62	101	237	218	314	254	290	32	482	171	270	2	33	48	69	377	146	278	8	36	40	120	510	74	170	242	97	112	390	152	65	197	199	106	0	6	301	1801	81	7	0	557	141	302	138	62	12
